# spike3 | isServerGC=False latencyMode=Interactive runtime=10.0.8 n=200 cycles=50 warmup=30
arm,cycle,n,pre_gc_managed_bytes,managed_floor_bytes,gc_heap_bytes,gc_committed_bytes,gc_fragmented_bytes,private_bytes,working_set_bytes,handle_count,loaded_assemblies,gen0,gen1,gen2,unloaded,gc_iters_to_unload,batch_millis,all_pass
control,0,200,33523216,19369880,22821808,43446272,3451928,201977856,310632448,877,103,8,6,4,True,2,31,True
control,1,200,19492840,19375592,22782664,42508288,3407072,200949760,309612544,877,103,11,9,7,True,2,5,True
control,2,200,19502208,19375592,22782664,42508288,3407072,201764864,310480896,877,103,14,12,10,True,2,7,True
control,3,200,19502208,19375592,22782664,42508288,3407072,202575872,311611392,877,103,17,15,13,True,2,14,True
control,4,200,19502208,19375592,22782664,42508288,3407072,202575872,311635968,877,103,20,18,16,True,2,3,True
control,5,200,19502208,19473944,22881048,42606592,3407104,202678272,311681024,877,103,23,21,19,True,2,4,True
control,6,200,19502208,19375592,22782664,31588352,3407072,191500288,300810240,877,103,26,24,22,True,2,4,True
control,7,200,19509456,19382816,22782664,31588352,3399848,191500288,300810240,877,103,29,27,25,True,2,6,True
control,8,200,19509432,19382816,22782664,27398144,3399848,187305984,296611840,877,103,32,30,28,True,2,4,True
control,9,200,19509432,19382816,22782664,27398144,3399848,187305984,296574976,877,103,35,33,31,True,2,6,True
control,10,200,19509432,19382816,22782664,27398144,3399848,187305984,296591360,877,103,38,36,34,True,2,6,True
control,11,200,19509432,19382816,22782664,27398144,3399848,187305984,296632320,877,103,41,39,37,True,2,3,True
control,12,200,19509432,19382816,22782664,27398144,3399848,187305984,296652800,877,103,44,42,40,True,2,7,True
control,13,200,19509432,19382816,22782664,27398144,3399848,187305984,296648704,877,103,47,45,43,True,2,5,True
control,14,200,19509432,19382816,22782664,27398144,3399848,187305984,296673280,877,103,50,48,46,True,2,4,True
control,15,200,19509432,19382848,22782664,27398144,3399816,187305984,296693760,877,103,53,51,49,True,2,6,True
control,16,200,19509464,19382848,22782664,27402240,3399816,187346944,296710144,877,103,56,54,52,True,2,5,True
control,17,200,19509464,19481200,22782664,27402240,3301464,187346944,296718336,877,103,59,57,55,True,2,6,True
control,18,200,19509464,19382848,22782664,27402240,3399816,187346944,296734720,877,103,62,60,58,True,2,6,True
control,19,200,19509464,19382848,22782664,27402240,3399816,187346944,296751104,877,103,65,63,61,True,2,5,True
control,20,200,19517688,19382848,22782664,27402240,3399816,187346944,296767488,877,103,68,66,64,True,2,4,True
control,21,200,19509464,19382848,22782664,27402240,3399816,187346944,296779776,877,103,71,69,67,True,2,6,True
control,22,200,19509464,19382848,22782664,27394048,3399816,187265024,296808448,877,103,74,72,70,True,2,6,True
control,23,200,19509464,19382848,22782664,27398144,3399816,187305984,296824832,877,103,77,75,73,True,2,9,True
control,24,200,19509464,19382848,22782664,27398144,3399816,188317696,297979904,877,103,80,78,76,True,2,4,True
control,25,200,19509464,19382848,22782664,27398144,3399816,188317696,297926656,877,103,83,81,79,True,2,6,True
control,26,200,19509464,19382848,22782664,27398144,3399816,188317696,297943040,877,103,86,84,82,True,2,6,True
control,27,200,19509464,19382848,22782664,27398144,3399816,188317696,297955328,877,103,89,87,85,True,2,5,True
control,28,200,19509464,19382848,22782664,27398144,3399816,188317696,297967616,877,103,92,90,88,True,2,6,True
control,29,200,19509464,19382848,22782664,27394048,3399816,188276736,297988096,877,103,95,93,91,True,2,6,True
control,30,200,19509464,19481200,22782664,27398144,3301464,188317696,297992192,877,103,98,96,94,True,2,7,True
control,31,200,19509464,19382848,22782664,27398144,3399816,188317696,298008576,877,103,101,99,97,True,2,6,True
control,32,200,19509472,19481200,22881048,27398144,3399848,188317696,298168320,877,103,104,102,100,True,2,13,True
control,33,200,19509472,19382848,22782664,27398144,3399816,188317696,298172416,877,103,107,105,103,True,2,6,True
control,34,200,19509472,19382848,22782664,27398144,3399816,188317696,298172416,877,103,110,108,106,True,2,6,True
control,35,200,19509472,19382848,22782664,27398144,3399816,188317696,298188800,877,103,113,111,109,True,2,8,True
control,36,200,19509472,19382848,22782664,27398144,3399816,188317696,298201088,877,103,116,114,112,True,2,6,True
control,37,200,19509472,19382848,22782664,27398144,3399816,188317696,298172416,877,103,119,117,115,True,2,11,True
control,38,200,19509472,19382848,22782664,27398144,3399816,188317696,298172416,877,103,122,120,118,True,2,12,True
control,39,200,19509472,19382848,22782664,27398144,3399816,188317696,298180608,877,103,125,123,121,True,2,21,True
control,40,200,19509472,19382848,22782664,27398144,3399816,188317696,298209280,877,103,128,126,124,True,2,17,True
control,41,200,19509472,19382848,22782664,27398144,3399816,184569856,294461440,877,103,131,129,127,True,2,7,True
control,42,200,19509472,19382848,22782664,27398144,3399816,184569856,294481920,877,103,134,132,130,True,2,197,True
control,43,200,19505816,18763352,22163752,26910720,3400400,184082432,293994496,877,103,137,135,133,True,2,9,True
control,44,200,18886312,18763352,22163752,26910720,3400400,184139776,294047744,877,103,140,138,136,True,2,6,True
control,45,200,18886112,18763352,22163752,26910720,3400400,184139776,294068224,877,103,143,141,139,True,2,7,True
control,46,200,18886112,18763352,22163752,26910720,3400400,184139776,294088704,877,103,146,144,142,True,2,14,True
control,47,200,18886112,18763352,22163752,26910720,3400400,184139776,294100992,876,103,149,147,145,True,2,15,True
control,48,200,18886112,18763352,22163752,26910720,3400400,184139776,294117376,876,103,152,150,148,True,2,8,True
control,49,200,18886112,18763352,22163752,26910720,3400400,184385536,294322176,876,103,155,153,151,True,2,12,True
real,0,200,19882000,18785568,22163104,26910720,3377536,191565824,303812608,882,104,158,156,154,True,2,3090,True
real,1,200,19781760,18786872,22162608,26910720,3375736,191578112,304263168,882,104,161,159,157,True,2,2714,True
real,2,200,19772504,18695000,22513592,27127808,3818592,187916288,299532288,882,104,164,162,160,True,2,1933,True
real,3,200,19680000,18693176,22501984,27127808,3808808,187961344,299536384,882,104,167,165,163,True,2,1597,True
real,4,200,19671240,18693416,22501856,27127808,3808440,187961344,299548672,882,104,170,168,166,True,2,1583,True
real,5,200,19687888,18656744,22504216,27127808,3847472,186515456,298409984,817,104,173,171,169,True,2,1429,True
real,6,200,19633408,18656168,22484808,27131904,3828640,186556416,298385408,817,104,176,174,172,True,2,1544,True
real,7,200,19641416,18656680,22466712,27131904,3810032,187355136,299204608,817,104,179,177,175,True,2,1481,True
real,8,200,19634088,18757144,22466712,27131904,3709568,187355136,299212800,817,104,182,180,178,True,2,1636,True
real,9,200,19644136,18653240,22466616,27131904,3813376,186765312,298889216,817,104,185,183,181,True,2,1589,True
real,10,200,19771744,18672712,22466616,27131904,3793904,186785792,298950656,818,104,188,186,184,True,2,1487,True
real,11,200,19657224,18673520,22453888,27131904,3780368,186785792,298950656,818,104,191,189,187,True,2,1480,True
real,12,200,19650584,18673336,22453888,27131904,3780552,186785792,298954752,818,104,194,192,190,True,2,1377,True
real,13,200,19658016,18673152,22453888,27127808,3780736,186744832,298967040,818,104,197,195,193,True,2,1488,True
real,14,200,19666256,18673840,22453888,27127808,3780048,186744832,298971136,818,104,200,198,196,True,2,1482,True
real,15,200,19658648,18673544,22453888,27127808,3780344,186744832,298934272,818,104,203,201,199,True,2,1497,True
real,16,200,19666440,18673904,22453888,27127808,3779984,186744832,298938368,816,104,206,204,202,True,2,1676,True
real,17,200,19659152,18673720,22453760,27127808,3780040,186744832,298938368,816,104,209,207,205,True,2,1620,True
real,18,200,19658360,18673336,22453760,27127808,3780424,186744832,298934272,816,104,212,210,208,True,2,1424,True
real,19,200,19656888,18674088,22453760,27127808,3779672,186703872,298893312,816,104,215,213,211,True,2,1527,True
real,20,200,19659656,18673536,22453760,27127808,3780224,186703872,298893312,816,104,218,216,214,True,2,1526,True
real,21,200,19658432,18673408,22453760,27127808,3780352,186703872,298893312,816,104,221,219,217,True,2,1495,True
real,22,200,19666392,18673904,22453760,27127808,3779856,186662912,298864640,813,104,224,222,220,True,2,1597,True
real,23,200,19650920,18674280,22453760,27127808,3779480,186707968,298897408,816,104,227,225,223,True,2,1747,True
real,24,200,19659584,18673160,22453760,27127808,3780600,186712064,298901504,816,104,230,228,226,True,2,1497,True
real,25,200,19658632,18607368,22420968,27127808,3813600,186712064,298901504,816,104,233,231,229,True,2,1457,True
real,26,200,19592280,18606744,22420968,27127808,3814224,186712064,298917888,816,104,236,234,232,True,2,1463,True
real,27,200,19599536,18607560,22419232,27127808,3811672,186753024,298975232,816,104,239,237,235,True,2,1412,True
real,28,200,19600728,18607872,22419232,27127808,3811360,187539456,299761664,816,104,242,240,238,True,2,1433,True
real,29,200,19601208,18707344,22517616,27127808,3810272,187539456,299769856,816,104,245,243,241,True,2,1425,True
real,30,200,19594160,18604464,22419232,27127808,3814768,187539456,299819008,816,104,248,246,244,True,2,1471,True
real,31,200,19589432,18604408,22383168,27127808,3778760,187539456,299819008,816,104,251,249,247,True,2,1457,True
real,32,200,19589384,18603024,22383168,27127808,3780144,187539456,299819008,816,104,254,252,250,True,2,1373,True
real,33,200,19588360,18603080,22383168,27127808,3780088,186617856,298885120,813,104,257,255,253,True,2,1365,True
real,34,200,19588136,18603072,22383168,27127808,3780096,187428864,299696128,813,104,260,258,256,True,2,2224,True
real,35,200,19587856,18603312,22383168,27127808,3779856,187473920,299741184,816,104,263,261,259,True,2,2543,True
real,36,200,19580296,18603080,22383168,27127808,3780088,187473920,299741184,816,104,266,264,262,True,2,1931,True
real,37,200,19588464,18603264,22383168,27127808,3779904,187428864,299712512,813,104,269,267,265,True,2,1711,True
real,38,200,19596808,18604656,22383168,27127808,3778512,187428864,299708416,813,104,272,270,268,True,2,1626,True
real,39,200,19589624,18604288,22383168,27127808,3778880,187428864,299708416,813,104,275,273,271,True,2,1529,True
real,40,200,19589560,18605008,22383168,27127808,3778160,187428864,299708416,813,104,278,276,274,True,2,1593,True
real,41,200,19590344,18603960,22383168,27127808,3779208,187478016,299749376,816,104,281,279,277,True,2,1371,True
real,42,200,19596976,18604152,22383168,27127808,3779016,187478016,299749376,816,104,284,282,280,True,2,1355,True
real,43,200,19589376,18612840,22383168,27127808,3778552,187428864,299716608,813,104,287,285,283,True,2,1470,True
real,44,200,19589704,18604792,22383168,27127808,3778376,187428864,299712512,813,104,290,288,286,True,2,1540,True
real,45,200,19589448,18603976,22383168,27127808,3779192,187478016,299794432,816,104,293,291,289,True,2,1621,True
real,46,200,19588984,18604424,22383168,27127808,3778744,187478016,299790336,816,104,296,294,292,True,2,1457,True
real,47,200,19597192,18605192,22383168,27127808,3777976,187478016,299810816,816,104,299,297,295,True,2,1316,True
real,48,200,19590808,18603936,22383168,27127808,3779232,187478016,299806720,816,104,302,300,298,True,2,1300,True
real,49,200,19581064,18603072,22383168,27127808,3780096,187478016,299790336,816,104,305,303,301,True,2,1234,True
